index,Year,Calendar Date (YYYYMMDD),WeekNo,Year_Week,$Price,$ Sales Amount,# Sold Unit,# Inventory Unit
95,2015,20150531,23,2015_23,114.14285714285714,741.8578847150276,7,81
96,2015,20150601,23,2015_23,114.14285714285714,410.85755371469656,4,77
97,2015,20150602,23,2015_23,114.14285714285714,171.28588557159986,2,75
98,2015,20150603,23,2015_23,114.14285714285714,114.14297128582842,1,74
99,2015,20150604,23,2015_23,114.14285714285714,114.14297128582842,1,73
100,2015,20150605,23,2015_23,114.14285714285714,542.1433992862565,5,68
101,2015,20150606,23,2015_23,114.14285714285714,570.7148564291421,5,63
102,2015,20150607,24,2015_24,114.14285714285714,342.4289138574853,3,79
103,2015,20150608,24,2015_24,114.14285714285714,171.28588557159986,2,77
104,2015,20150609,24,2015_24,114.14285714285714,114.14297128582842,1,76
105,2015,20150610,24,2015_24,114.14285714285714,342.4289138574853,3,73
106,2015,20150611,24,2015_24,114.14285714285714,382.28609657181084,4,69
107,2015,20150612,24,2015_24,114.14285714285714,114.14297128582842,1,68
108,2015,20150613,24,2015_24,114.14285714285714,405.28611957183386,4,64
109,2015,20150614,25,2015_25,114.14285714285714,114.14297128582842,1,62
110,2015,20150615,25,2015_25,114.14285714285714,114.14297128582842,1,61
111,2015,20150618,25,2015_25,114.14285714285714,502.2290736576451,5,56
113,2015,20150620,25,2015_25,114.14285714285714,205.57163414306274,3,53
114,2015,20150622,26,2015_26,114.14285714285714,114.14297128582842,1,52
115,2015,20150623,26,2015_26,114.14285714285714,245.42881685738828,3,49
116,2015,20150624,26,2015_26,114.14285714285714,199.71448542877116,2,47
117,2015,20150625,26,2015_26,114.14285714285714,85.57151414294272,1,46
118,2015,20150627,26,2015_26,114.14285714285714,171.14302828588544,2,44
119,2015,20150628,27,2015_27,114.14285714285714,114.14297128582842,1,44
120,2015,20150629,27,2015_27,114.14285714285714,45.71433142861714,1,43
121,2015,20150702,27,2015_27,114.14285714285714,159.85730271444558,2,41
122,2015,20150704,27,2015_27,114.14285714285714,114.14297128582842,2,39
123,2015,20150706,28,2015_28,114.14285714285714,91.42866285723429,2,37
124,2015,20150707,28,2015_28,114.14285714285714,91.42866285723429,2,35
125,2015,20150709,28,2015_28,114.14285714285714,114.14297128582842,1,34
126,2015,20150710,28,2015_28,114.14285714285714,159.85730271444558,3,31
128,2015,20150712,29,2015_29,114.14285714285714,45.71433142861714,1,30
129,2015,20150713,29,2015_29,114.14285714285714,114.14297128582842,1,29
130,2015,20150717,29,2015_29,114.14285714285714,68.4286398572113,1,28
131,2015,20150721,30,2015_30,114.14285714285714,114.14297128582842,1,27
132,2015,20150728,31,2015_31,114.14285714285714,114.14297128582842,1,26
133,2015,20150805,32,2015_32,114.14285714285714,114.14297128582842,1,25
134,2015,20150811,33,2015_33,114.14285714285714,-114.14297128582842,-1,26
135,2015,20150820,34,2015_34,114.14285714285714,1716.7102881388596,32,-6
136,2015,20150828,35,2015_35,114.14285714285714,1651.6487945059373,15,-21
137,2015,20150829,35,2015_35,114.14285714285714,799.000799000799,7,-28
138,2015,20150830,36,2015_36,114.14285714285714,1997.5019975019975,19,270
139,2015,20150831,36,2015_36,114.14285714285714,885.7151714294571,8,262
140,2015,20150901,36,2015_36,114.14285714285714,2043.1449002877575,18,244
141,2015,20150902,36,2015_36,114.14285714285714,2357.0023570023573,21,223
142,2015,20150903,36,2015_36,114.14285714285714,2498.4310698596414,23,200
143,2015,20150904,36,2015_36,114.14285714285714,3053.145910288768,28,172
144,2015,20150905,36,2015_36,114.14285714285714,3082.881654310226,28,144
145,2015,20150906,37,2015_37,114.14285714285714,2928.288642574357,26,809
146,2015,20150907,37,2015_37,114.14285714285714,2054.5734831449117,18,791
147,2015,20150908,37,2015_37,114.14285714285714,4357.932929361501,40,751
148,2015,20150909,37,2015_37,114.14285714285714,2602.4311738597453,23,728
149,2015,20150910,37,2015_37,114.14285714285714,1695.001695001695,15,713
150,2015,20150911,37,2015_37,114.14285714285714,3253.07468164611,29,684
151,2015,20150912,37,2015_37,114.14285714285714,6928.3640712212145,63,621
152,2015,20150913,38,2015_38,114.14285714285714,8365.436936865508,75,1690
153,2015,20150914,38,2015_38,114.14285714285714,4794.004794004794,43,1647
154,2015,20150915,38,2015_38,114.14285714285714,4879.433450862022,45,1602
155,2015,20150916,38,2015_38,114.14285714285714,3983.575412146841,37,1565
156,2015,20150917,38,2015_38,114.14285714285714,2956.4315278600993,26,1539
157,2015,20150918,38,2015_38,114.14285714285714,4976.633548062119,47,1492
158,2015,20150919,38,2015_38,114.14285714285714,8824.594538880254,80,1412
159,2015,20150920,39,2015_39,114.14285714285714,7200.150057292914,65,1528
160,2015,20150921,39,2015_39,114.14285714285714,3253.1461102889675,29,1499
161,2015,20150922,39,2015_39,114.14285714285714,2619.5811910097623,23,1476
162,2015,20150923,39,2015_39,114.14285714285714,3184.574613146042,28,1448
163,2015,20150924,39,2015_39,114.14285714285714,2950.7172364315225,27,1421
164,2015,20150925,39,2015_39,114.14285714285714,3666.7179524322382,35,1386
165,2015,20150926,39,2015_39,114.14285714285714,6665.692379978094,62,1324
166,2015,20150927,40,2015_40,114.14285714285714,7077.57136328565,65,1475
167,2015,20150928,40,2015_40,114.14285714285714,2803.2885175742317,25,1450
168,2015,20150929,40,2015_40,114.14285714285714,4961.290675576391,48,1402
169,2015,20150930,40,2015_40,114.14285714285714,3444.7320161605876,31,1371
170,2015,20151001,40,2015_40,114.14285714285714,9849.495563781276,96,1275
171,2015,20151002,40,2015_40,114.14285714285714,7072.78850135993,68,1207
172,2015,20151003,40,2015_40,114.14285714285714,5212.05092633664,48,1159
173,2015,20151004,41,2015_41,114.14285714285714,6371.434942863514,59,1173
174,2015,20151005,41,2015_41,114.14285714285714,5007.897865040722,47,1126
175,2015,20151006,41,2015_41,114.14285714285714,5026.1621690193115,46,1080
176,2015,20151007,41,2015_41,114.14285714285714,3367.003367003367,31,1049
177,2015,20151008,41,2015_41,114.14285714285714,1558.4044155472727,14,1035
178,2015,20151009,41,2015_41,114.14285714285714,887.0780299351727,8,1027
179,2015,20151010,41,2015_41,114.14285714285714,1462.081462081462,13,1014
180,2015,20151011,42,2015_42,114.14285714285714,1803.833232404661,16,1582
181,2015,20151012,42,2015_42,114.14285714285714,536.831965403394,5,1577
182,2015,20151013,42,2015_42,114.14285714285714,639.1434962863534,6,1571
183,2015,20151014,42,2015_42,114.14285714285714,1215.7226442940728,11,1560
184,2015,20151015,42,2015_42,114.14285714285714,998.7152844295701,9,1551
